internal ID, coursename, coursenumber, coursedepartment(s), fall, winter, spring, units, prerequisites, writing intensive, instructors
131, Pl 102, 102, Pl, False, False, False, 9 , Hum/Pl 40|Hum/Pl 41|, True,
132, Pl/CNS/NB/Bi/Psy 161, 161, Pl/CNS/NB/Bi/Psy, False, True, False, 9 , , True,
133, PS 12, 12, PS, False, False, True, 9 , , False,
134, PS 20, 20, PS, False, True, False, 9 , , False, Ordeshook
135, PS 97, 97, PS, False, False, False, il., , True,
136, PS 99 ab, 99, PS, False, True, False, 9 , , True, Ordeshoo
137, PS 101, 101, PS, False, False, False, 0, , True,
138, PS 120, 120, PS, False, False, True, 9 , PS 12|, True, Alvarez
139, PS 121, 121, PS, True, False, False, 9 , PS 12|, True, Hirsch
140, PS 122, 122, PS, False, False, True, 9 , PS 12|, True, Gibilisco
141, PS 123, 123, PS, False, True, False, 9 , PS 12|, True, Kiewiet
142, PS 125, 125, PS, False, True, False, 9 , PS 12|, True, Gibilisco
143, An/PS 127, 127, An/PS, False, True, False, 9 , PS 12|, True, Ensminger
144, PS 132, 132, PS, False, False, True, 9 , PS 12|, True, Agranov
145, PS 135, 135, PS, True, False, False, 9 , , True, Katz
146, PS/SS 139, 139, PS/SS, False, False, True, 9 , PS 12|, True, Lopez-Moctezuma
147, PS 141 ab, 141, PS, False, False, True, 9 , , True, Kiewiet
148, PS/Ec 172, 172, PS/Ec, True, False, False, 9 , Ec 11|PS 12|, True, Tamuz
149, Psy 13, 13, Psy, False, False, True, 9 , , False, Mobbs
150, Psy 101, 101, Psy, False, False, False, 0, , True,
151, CNS/SS/Psy/Bi 102 ab, 102, CNS/SS/Psy/Bi, False, False, True, 9 , Bi/CNS/NB/Psy 150|, True,
152, Psy/CNS 105 ab, 105, Psy/CNS, False, False, True, 5 , , True, O’Doherty
153, Psy 115, 115, Psy, True, False, False, 9 , , True,
154, Bi/CNS/NB/Psy 150, 150, Bi/CNS/NB/Psy, False, False, True, 10 , , True,
155, CNS/Bi/SS/Psy/NB 176, 176, CNS/Bi/SS/Psy/NB, False, False, True, 9 , , True, Shimojo
156, SS 98, 98, SS, False, False, False, 0, , True,
157, SS 101, 101, SS, False, False, False, 0, , True,
158, Wr 1, 1, Wr, True, False, False, 9 , Wr 3|, False, Hall
